date,asset_values_over_time,total_returns,sharpe_ratios,max_drawdowns
2021-01-03 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-04 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-04 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-1.5448747427326128e+17,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-5.149582475775375e+16,0.0
2021-01-05 00:00:00,1000000,0.0,-7.724373713663064e+16,0.0
